Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.0590826,-24.57081,177.4727,100.0045
1,0.05881144,-24.61077,177.3018,1.211285
10,0.05868058,-24.63011,175.2239,1.250644
50,0.05635406,-24.9815,166.9321,0.8173633
100,0.05273449,-25.55811,159.9324,0.8980591
200,0.04661817,-26.62889,150.7491,1.227728
300,0.04236906,-27.45903,144.3444,1.422547
400,0.0391941,-28.13559,139.7363,1.655478
500,0.03678093,-28.68754,133.9636,1.549863
600,0.03447822,-29.2491,132.1416,2.526758
700,0.03283749,-29.6726,128.9245,2.75792
800,0.03111368,-30.14097,123.5554,2.392776
900,0.02987155,-30.49484,118.3888,2.006001
1000,0.02842721,-30.92531,117.0217,2.588337
1200,0.02676306,-31.44928,109.1877,2.962403
1400,0.02465592,-32.16158,104.674,4.999734
1600,0.02354099,-32.56351,95.05524,6.364866
1800,0.02171532,-33.26468,90.40237,3.982823
2000,0.0202488,-33.87201,83.70867,3.20572
