Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent,Phase_normalized
0.1,0.07330678,-22.69712,177.3801,0.978225,0
1,0.07303369,-22.72953,177.1526,1.000197,-0.2275238
10,0.07293912,-22.74079,174.9333,1.0132,-2.446838
50,0.07042813,-23.04508,166.1503,0.6748399,-11.22981
100,0.06536898,-23.69257,158.7516,0.7388653,-18.62846
200,0.05754953,-24.79917,149.3891,0.9826058,-27.991
300,0.05186293,-25.70286,143.366,1.405242,-34.0141
400,0.04778838,-26.41356,137.8335,1.394685,-39.54662
500,0.04471888,-26.99018,133.986,1.370978,-43.39407
600,0.04184294,-27.56756,129.1774,1.4619,-48.20274
700,0.03965421,-28.03421,124.192,2.685265,-53.1881
800,0.03804261,-28.39459,122.9066,1.934167,-54.47353
900,0.03664149,-28.72054,118.0818,2.906316,-59.29832
1000,0.03507025,-29.10122,114.4322,1.515464,-62.9479
1200,0.03184977,-29.93788,108.4171,3.235021,-68.96298
1400,0.02958543,-30.57844,101.2913,2.513219,-76.08884
1600,0.02816981,-31.00432,92.25433,5.886023,-85.12579
1800,0.02647589,-31.54299,89.37816,2.576965,-88.00195
2000,0.0247857,-32.11598,84.66429,2.186277,-92.71582
