Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent,Phase_normalized
0.1,0.09139673,-20.78139,-4.327453,1.65533,0
1,0.08732645,-21.17708,-4.403364,1.785637,-0.07591105
10,0.09234519,-20.69172,-4.909587,1.789786,-0.5821338
50,0.09174721,-20.74814,-7.103238,1.684969,-2.775784
100,0.08290543,-21.62834,-9.32493,1.593425,-4.997477
200,0.07978965,-21.96107,-13.94343,1.238186,-9.615976
300,0.07465179,-22.5392,-17.88218,1.443038,-13.55472
400,0.07294502,-22.74009,-21.6985,1.179659,-17.37105
500,0.07114588,-22.957,-25.48849,1.102404,-21.16104
600,0.06662865,-23.52678,-27.9949,1.941948,-23.66745
700,0.06480887,-23.76731,-29.58624,2.317221,-25.25878
800,0.06354848,-23.9379,-35.36773,1.480914,-31.04028
900,0.06221656,-24.12188,-38.81218,1.516118,-34.48473
1000,0.0608344,-24.31702,-40.02622,1.427411,-35.69876
1200,0.05818964,-24.70308,-46.6136,3.881418,-42.28615
1400,0.05554464,-25.10716,-52.20833,2.07198,-47.88087
1600,0.05204886,-25.67178,-54.58746,7.366437,-50.26
1800,0.05208057,-25.66648,-61.6117,1.766686,-57.28425
2000,0.05046761,-25.93975,-63.53389,1.854073,-59.20643
