Distance_um,H_0p1Hz,H_1Hz,H_10Hz,H_50Hz,H_100Hz,H_200Hz,H_500Hz,H_1000Hz,H_1200Hz,H_1250Hz,H_1500Hz,H_1600Hz,H_2000Hz,H_2500Hz,H_3000Hz
10,0.160740418299246,0.160121271888406,0.161011375464576,0.160496136847654,0.159928734735131,0.159481074658864,0.152625589023614,0.137821356416903,0.132669173056456,0.131341458735024,0.125849221174363,0.12404220422026,0.116891564428751,0.109764946062775,0.104181285659242
30,0.155785120225998,0.155960857908604,0.155851281350159,0.155507572144997,0.15546657985841,0.154939645234345,0.147991590396361,0.133473654312724,0.128621159698181,0.127534830698592,0.12233820695236,0.120358962750559,0.113815686520984,0.107007796728583,0.100839749010619
50,0.153004338962022,0.153021501573331,0.152600807204084,0.152256403614143,0.151840334570705,0.151370324398647,0.144661835946435,0.130425823623942,0.125513857202824,0.124376633481753,0.119584437920761,0.117824375275725,0.110875006141982,0.104240260422823,0.0986875327451686
100,0.14165876932582,0.142193868366811,0.142134469736886,0.141703699318093,0.141587440319597,0.141134442382957,0.134862120400469,0.121555253115087,0.117123237319124,0.116178430853888,0.111595432838675,0.110029829973629,0.104002433753389,0.0975626629637588,0.0921799322760042
150,0.133005406351176,0.133002611878747,0.132840708665463,0.132625015149038,0.132431735589139,0.132148063441206,0.126517699324849,0.114050593765604,0.109941537387887,0.108701010728557,0.104396943245959,0.102821521710541,0.0969191743442528,0.0907096743188167,0.0862957022497335
200,0.125471102988582,0.125268909959646,0.125298517293372,0.125307971350521,0.125514246016651,0.124827840259265,0.119097200451092,0.107326678815632,0.103591962680732,0.102543665507804,0.0982761321825612,0.096816520055694,0.0912893212564842,0.0857204689197737,0.0812707917492985
250,0.118305001590623,0.118212331389208,0.118250372264185,0.11820646464112,0.118200016543602,0.117921933893839,0.112446882172563,0.101306313515449,0.0974561616520615,0.096870244629377,0.0928384784253691,0.0912284232943052,0.0862715432817599,0.0810759865532646,0.0765350327007075
300,0.111838024956508,0.11174939021453,0.11174801649331,0.111785918096885,0.111878768377345,0.111444264900708,0.106373410585998,0.0959567799223254,0.0922895249863907,0.0912598487847024,0.0874921298778484,0.0860519969208598,0.0812605728806724,0.0760106571725384,0.0720686181509837
350,0.105774426387233,0.105805655163735,0.105870316333605,0.105779674958726,0.105849506552404,0.105535335509232,0.100790431890325,0.0909142560283397,0.0872286212853868,0.0867342555868703,0.0833674018909561,0.081916769794419,0.0773897207553837,0.0724595136453035,0.0685558970555216
400,0.100927720294189,0.101039317556196,0.100926355097698,0.1008650002746,0.100913299869027,0.100591734306721,0.0963721024299068,0.0866506680478015,0.083400581119881,0.0827202540751443,0.0792127926444082,0.0780713256647002,0.0736257391325797,0.0692129666565993,0.0654073137272566
450,0.0960850710521945,0.0959616679621373,0.096020953572204,0.0961351369959272,0.0963545641956962,0.0960447970873627,0.091655452564516,0.082658706844591,0.079382680124868,0.0785485222885082,0.0752063672084449,0.0740378298012681,0.0697998963465176,0.0657091440629838,0.0622391475558503
500,0.0919434393020122,0.0920074303484517,0.0918951464826613,0.091766342705809,0.0920823629807371,0.0917114725879638,0.0877027023418905,0.078793118264439,0.0759028139544028,0.0750674337864998,0.0719676724735249,0.0710017075930223,0.0670750250591378,0.0627566819483999,0.05955155461554
600,0.0843502787742971,0.0841709411442802,0.0843615112952561,0.08443543119521,0.084683251404777,0.084384551275108,0.0804679423552089,0.072262673025984,0.0696195263261794,0.0691619061505212,0.0663836856503076,0.0650737460506019,0.0615436630841195,0.0576373485072755,0.0545954601633414
700,0.0778806453495823,0.0778999270958862,0.0780122197877828,0.0781599702091631,0.0782007434428844,0.0780075510196605,0.0743597468336138,0.0667797760159255,0.0643751038464107,0.0639846925973986,0.0612550919539978,0.0600396241643071,0.0567058214244574,0.0531322634914288,0.0505690097969381
800,0.072697853429683,0.072438726733663,0.0723465270785248,0.0725395911618382,0.0726450628269637,0.072465963684195,0.0692393863131772,0.0622868778045246,0.0599864202335485,0.0594509696863886,0.0569793604547971,0.0559339455262936,0.0528504448323701,0.0495820058740963,0.0467766166393203
900,0.0676690872744202,0.0677675076190258,0.067725991722149,0.0679161206403777,0.0680401131070019,0.0679639512466376,0.0647173764246552,0.0580374731198951,0.0559741402373232,0.0554335777141763,0.0531989395461543,0.0523539072739539,0.0494038460300852,0.0463939101747371,0.0437750659797691
1000,0.0635795897712003,0.0635070783836025,0.063528966753242,0.0636539240911052,0.0638885322464892,0.0636735754448672,0.0606974125246737,0.0544524463510939,0.0524222013949495,0.0519233739797005,0.0497814731738056,0.0489921665741176,0.0461817737592006,0.043552617370967,0.0411304601346429
1200,0.0566559873372811,0.0565495281812628,0.0564253907199172,0.0566344310554414,0.0568958874847339,0.0567075969065448,0.0540633296695342,0.0486211028571274,0.046620301593201,0.0463461370904129,0.0443640132929321,0.0437134017958999,0.0412893429997116,0.0388520537324468,0.0364028676464017
1400,0.0508714260652915,0.0508485683646767,0.0508893939119902,0.0511519341499591,0.0512374500903545,0.0510843513683352,0.0487307986060697,0.0437284189113459,0.042202151083292,0.0417989159967995,0.0398366751599522,0.0393765513815765,0.0369302185399664,0.0349353160425191,0.0329969996461568
1600,0.0463506973776262,0.0462868237908749,0.0463093387625971,0.0465932310309005,0.0467821206045309,0.0466797086030137,0.0443375119605927,0.0396905551903388,0.0382378093773724,0.0379405705631174,0.036158174244951,0.0357037819529262,0.0337153699022623,0.0317119188982471,0.029895506065943
1800,0.0423527719138517,0.0422443479501979,0.0423818342097043,0.0426207391079862,0.0428658631952853,0.0427315524156702,0.0405107131337024,0.0363619726707311,0.0348829943210336,0.0346417137741044,0.0332868377609931,0.032671304487372,0.0308646384860047,0.0289175130836119,0.0273035789025866
2000,0.0390216046395878,0.0390577474535799,0.0390866721293415,0.0391801729434996,0.0394245233240766,0.039486689076587,0.0374233920173485,0.0336598994538438,0.0324056244606128,0.0320015498299036,0.0305673382633649,0.0303101966085964,0.0284933813308088,0.0267543238308686,0.0251855485763792
