Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.05025078,-25.97714,176.6209,1.252138
1,0.05003477,-26.01456,176.4732,1.370134
10,0.05004602,-26.01261,174.9517,1.12411
50,0.04959123,-26.0919,166.3908,0.7472321
100,0.04675966,-26.60257,157.4298,0.467026
200,0.04037493,-27.87777,145.6178,0.9112631
300,0.03579386,-28.92383,137.4077,1.036563
400,0.03238325,-29.79359,131.4609,1.129891
500,0.02966565,-30.55492,125.7703,1.588562
600,0.02749206,-31.21585,120.7859,1.498102
700,0.02578565,-31.77244,116.707,2.263553
800,0.02420146,-32.32317,113.5579,1.553839
900,0.02310289,-32.72667,109.2462,2.547229
1000,0.02181704,-33.22408,106.041,1.321434
1200,0.01974573,-34.09053,98.29708,2.034982
1400,0.01780016,-34.99152,91.05481,3.010824
1600,0.01679198,-35.49797,81.74983,1.966359
1800,0.0158325,-36.00901,78.04964,3.054935
2000,0.01440348,-36.83065,73.11665,3.013562
