Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.07330678,-22.69712,177.3801,0.978225
1,0.07303369,-22.72953,177.1526,1.000197
10,0.07293912,-22.74079,174.9333,1.0132
50,0.07042813,-23.04508,166.1503,0.6748399
100,0.06536898,-23.69257,158.7516,0.7388653
200,0.05754953,-24.79917,149.3891,0.9826058
300,0.05186293,-25.70286,143.366,1.405242
400,0.04778838,-26.41356,137.8335,1.394685
500,0.04471888,-26.99018,133.986,1.370978
600,0.04184294,-27.56756,129.1774,1.4619
700,0.03965421,-28.03421,124.192,2.685265
800,0.03804261,-28.39459,122.9066,1.934167
900,0.03664149,-28.72054,118.0818,2.867453
1000,0.03507025,-29.10122,114.4322,1.455625
1200,0.03184977,-29.93788,108.4171,3.130079
1400,0.02958543,-30.57844,101.2913,2.31019
1600,0.02816981,-31.00432,92.25433,5.804893
1800,0.02647589,-31.54299,89.37816,2.512935
2000,0.0247857,-32.11598,84.66429,2.127464
