Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.02945196,-30.61772,178.0479,0.7749088
1,0.02945369,-30.61721,177.8158,0.9061013
10,0.02929448,-30.66428,175.0566,0.8379419
50,0.02798137,-31.06262,164.5982,0.4915761
100,0.02555799,-31.84946,155.0592,0.9113594
200,0.02195366,-33.16986,143.1228,1.167799
300,0.0192985,-34.28953,134.5591,1.411219
400,0.01743643,-35.17085,127.6601,1.448652
500,0.01594339,-35.94839,121.5339,1.037833
600,0.01484899,-36.56606,115.7027,2.135604
700,0.0137009,-37.26502,110.5567,3.570005
800,0.01304577,-37.69061,107.3981,2.021564
900,0.01224611,-38.24004,102.1957,2.626234
1000,0.01170471,-38.63278,95.90672,2.273461
1200,0.01066779,-39.43851,88.90492,2.886499
1400,0.009836781,-40.14294,81.33778,3.671309
1600,0.009160593,-40.76153,72.76422,2.072447
1800,0.008859397,-41.05192,68.62376,2.546187
2000,0.008041359,-41.89341,59.04932,2.621943
