Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.0313093,-30.08653,177.6625,0.9465367
1,0.03114023,-30.13356,177.5035,0.8562864
10,0.03111921,-30.13943,174.5915,1.03116
50,0.02960151,-30.57372,163.4988,0.6161137
100,0.02676419,-31.44892,153.7191,0.809111
200,0.02249539,-32.95813,141.5735,1.070679
500,0.01591651,-35.96304,120.3621,1.54701
1000,0.01129719,-38.94059,98.09722,2.911168
1200,0.01022047,-39.81059,89.97286,2.18075
1250,0.009984418,-40.01355,87.19872,2.446113
1500,0.00862339,-41.28644,80.96725,4.856925
1600,0.008188288,-41.73614,73.28159,5.599159
2000,0.007359403,-42.66315,57.13563,2.284029
2500,0.006206972,-44.1424,45.52422,3.225045
3000,0.005545415,-45.12132,30.72115,4.105458
