Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.04378686,-27.17312,177.3067,0.9104474
1,0.04359236,-27.21179,177.3898,0.9161478
10,0.04318492,-27.29336,176.1465,1.084254
50,0.044179,-27.09568,169.6805,0.6918731
100,0.0425953,-27.41277,161.5807,0.6138451
200,0.03854077,-28.28159,150.3375,0.8761395
300,0.03517368,-29.07564,142.2885,0.9643404
400,0.03264834,-29.72278,135.8119,1.200564
500,0.03054571,-30.30099,130.6025,1.351596
600,0.02878091,-30.81791,125.5132,1.509149
700,0.02711613,-31.33545,119.8927,2.79784
800,0.02569908,-31.80165,115.9148,1.670429
900,0.02487182,-32.08585,110.9866,2.970747
1000,0.02357589,-32.55064,108.1206,1.69887
1200,0.02159626,-33.31243,97.69247,2.317038
1400,0.01990642,-34.02013,93.51228,2.665441
1600,0.01886463,-34.48703,86.09205,2.311538
1800,0.01788591,-34.94978,76.8462,3.257185
2000,0.01662722,-35.58361,73.54768,2.377208
