Frequency_Hz,H_11_Mag,H_11_Phase_deg,H_12_Mag,H_12_Phase_deg,H_13_Mag,H_13_Phase_deg,H_14_Mag,H_14_Phase_deg,H_15_Mag,H_15_Phase_deg,H_16_Mag,H_16_Phase_deg,H_21_Mag,H_21_Phase_deg,H_22_Mag,H_22_Phase_deg,H_23_Mag,H_23_Phase_deg,H_24_Mag,H_24_Phase_deg,H_25_Mag,H_25_Phase_deg,H_26_Mag,H_26_Phase_deg,H_31_Mag,H_31_Phase_deg,H_32_Mag,H_32_Phase_deg,H_33_Mag,H_33_Phase_deg,H_34_Mag,H_34_Phase_deg,H_35_Mag,H_35_Phase_deg,H_36_Mag,H_36_Phase_deg,H_41_Mag,H_41_Phase_deg,H_42_Mag,H_42_Phase_deg,H_43_Mag,H_43_Phase_deg,H_44_Mag,H_44_Phase_deg,H_45_Mag,H_45_Phase_deg,H_46_Mag,H_46_Phase_deg,H_51_Mag,H_51_Phase_deg,H_52_Mag,H_52_Phase_deg,H_53_Mag,H_53_Phase_deg,H_54_Mag,H_54_Phase_deg,H_55_Mag,H_55_Phase_deg,H_56_Mag,H_56_Phase_deg,H_61_Mag,H_61_Phase_deg,H_62_Mag,H_62_Phase_deg,H_63_Mag,H_63_Phase_deg,H_64_Mag,H_64_Phase_deg,H_65_Mag,H_65_Phase_deg,H_66_Mag,H_66_Phase_deg
0.100000,2.3705150000e-01,0.000000,6.3478780000e-03,0.000000,3.2676180000e-02,0.000000,3.4424020000e-02,0.000000,4.0898420000e-02,0.000000,3.4277620000e-02,0.000000,3.6450270000e-03,0.000000,2.8151360000e-01,0.000000,4.2739740000e-02,0.000000,6.7600760000e-02,0.000000,7.8029190000e-02,0.000000,3.6830740000e-02,0.000000,3.7587690000e-02,0.000000,3.2619000000e-02,0.000000,2.1092650000e-01,0.000000,6.0135340000e-03,0.000000,2.6558720000e-02,0.000000,3.4125140000e-02,0.000000,2.4498440000e-02,0.000000,7.7640960000e-02,0.000000,5.5334830000e-03,0.000000,2.3637650000e-01,0.000000,7.7199180000e-02,0.000000,2.4108860000e-02,0.000000,4.1522710000e-02,0.000000,7.5921020000e-02,0.000000,2.3426680000e-02,0.000000,7.2071290000e-02,0.000000,2.5766190000e-01,0.000000,4.4181520000e-03,0.000000,2.4450150000e-02,0.000000,3.3054860000e-02,0.000000,2.5744010000e-02,0.000000,2.4511040000e-02,0.000000,2.9553120000e-03,0.000000,1.8450340000e-01,0.000000
0.996678,2.3353380000e-01,-0.097800,6.5795630000e-03,-1.294400,3.2490930000e-02,0.027200,3.4284470000e-02,-0.142300,4.0645760000e-02,-0.908500,3.4096450000e-02,-0.092000,3.8405750000e-03,-0.779800,2.8419210000e-01,-0.567500,4.2454460000e-02,-0.231000,6.7271740000e-02,-0.151000,7.7663150000e-02,-0.648200,3.6730460000e-02,-0.551700,3.6972670000e-02,0.075200,3.4254420000e-02,-0.756600,2.0973820000e-01,-0.128400,6.1146160000e-03,-0.192400,2.6392250000e-02,-0.967500,3.4013780000e-02,-0.234000,2.4435400000e-02,-0.221300,7.8285970000e-02,-0.599900,5.5118210000e-03,0.196400,2.3545610000e-01,-0.127300,7.6786070000e-02,-0.730200,2.3941370000e-02,-0.282300,4.0082830000e-02,0.202400,7.7139720000e-02,-0.575800,2.3266380000e-02,-0.268200,7.1720760000e-02,-0.134500,2.5632720000e-01,-0.674200,4.3884880000e-03,0.777300,2.4304470000e-02,-0.001100,3.2039810000e-02,-0.450100,2.5605580000e-02,0.058600,2.4295580000e-02,-0.091400,2.9886830000e-03,-2.024100,1.8377440000e-01,-0.311100
10.000000,2.3525810000e-01,-3.172600,6.0892780000e-03,-6.946500,3.3057370000e-02,-1.234200,3.4785660000e-02,-5.531200,4.2477750000e-02,-6.646700,3.6655980000e-02,-2.068800,4.0739780000e-03,10.235200,2.9217060000e-01,-4.624000,4.3291470000e-02,-4.372800,6.8467970000e-02,-4.815300,7.5140930000e-02,-4.162700,4.0221820000e-02,-5.528400,3.7552230000e-02,-1.474900,3.3566570000e-02,-5.711200,2.1297030000e-01,-3.164200,5.6544190000e-03,-7.399200,2.4470610000e-02,-4.704200,3.6925300000e-02,-2.477500,2.4327610000e-02,-3.456900,8.1867020000e-02,-4.954100,5.8818220000e-03,3.724000,2.3789580000e-01,-4.502800,7.5397750000e-02,-4.595300,2.4252130000e-02,-3.685700,4.1102240000e-02,-4.472200,7.7725970000e-02,-4.424200,2.3089110000e-02,-3.198000,7.1614780000e-02,-4.374700,2.5015310000e-01,-4.218800,5.2312960000e-03,4.967800,2.4527620000e-02,-0.596800,3.8134700000e-02,-6.889800,2.6095070000e-02,-1.270600,2.7164270000e-02,-6.537400,2.7214100000e-03,-13.228300,1.9632740000e-01,-3.876300
50.000000,2.2006880000e-01,-12.540600,5.3782200000e-03,-22.515700,3.3065980000e-02,-7.967800,3.0778930000e-02,-19.053100,3.7456810000e-02,-22.068300,3.6207580000e-02,-9.047600,6.4154590000e-03,15.591700,2.7089110000e-01,-17.173100,4.0045900000e-02,-18.336300,6.2182080000e-02,-17.475300,6.9610800000e-02,-16.715600,3.6545470000e-02,-21.357800,3.7112690000e-02,-9.092600,3.0384670000e-02,-19.525600,2.0060820000e-01,-12.299300,4.8502280000e-03,-24.774700,2.2223020000e-02,-17.555000,3.6072590000e-02,-10.295400,2.3275790000e-02,-16.742400,7.5412190000e-02,-17.883400,7.3541630000e-03,8.911100,2.1735130000e-01,-16.861700,6.9374940000e-02,-17.693800,2.3391770000e-02,-16.542100,3.7446550000e-02,-19.319800,7.2193860000e-02,-16.872200,2.2215030000e-02,-15.730300,6.5335180000e-02,-16.838200,2.3182910000e-01,-16.882100,6.8993710000e-03,11.930900,2.5039070000e-02,-7.598600,3.3505790000e-02,-22.777400,2.6232910000e-02,-8.575500,2.3740960000e-02,-21.474100,2.0895380000e-03,-40.692000,1.8308020000e-01,-13.411800
100.000000,2.0169090000e-01,-20.809200,5.0586260000e-03,-35.322000,3.1437070000e-02,-15.615700,2.6635400000e-02,-30.733000,3.1683740000e-02,-35.268300,3.4339140000e-02,-16.112300,8.2312970000e-03,6.289500,2.4024780000e-01,-28.125900,3.4627740000e-02,-31.136500,5.4689280000e-02,-28.105500,6.1877890000e-02,-27.547000,3.1040870000e-02,-35.225400,3.4922720000e-02,-17.045700,2.6589370000e-02,-32.122800,1.8346030000e-01,-20.565600,4.4059960000e-03,-38.218500,1.9769800000e-02,-29.273900,3.3640600000e-02,-17.935000,2.0968460000e-02,-30.092800,6.6438850000e-02,-28.954300,8.6845890000e-03,2.968300,1.9204650000e-01,-27.394100,6.0983950000e-02,-28.895600,2.1167260000e-02,-29.363100,3.2133660000e-02,-32.482600,6.4216380000e-02,-27.753000,2.0132440000e-02,-28.219700,5.7624760000e-02,-27.418700,2.0542390000e-01,-27.869100,8.6238630000e-03,5.701100,2.3882700000e-02,-15.541000,2.8342920000e-02,-36.210400,2.4613180000e-02,-16.776100,2.0365820000e-02,-34.234400,1.9672600000e-03,-56.327000,1.6682470000e-01,-21.337700
200.000000,1.7179760000e-01,-32.769300,4.7652780000e-03,-57.286800,2.7772760000e-02,-26.404900,2.0660510000e-02,-47.821900,2.3722660000e-02,-53.897400,3.0291420000e-02,-26.667300,9.4137110000e-03,-11.941900,1.9398770000e-01,-42.502700,2.6431070000e-02,-47.739700,4.3362630000e-02,-41.952200,5.0075480000e-02,-41.736100,2.2994050000e-02,-53.856500,3.0547630000e-02,-28.447600,2.0730100000e-02,-50.555200,1.5518100000e-01,-31.974300,3.9436700000e-03,-60.311600,1.5885670000e-02,-47.351300,2.8908060000e-02,-28.708500,1.6726880000e-02,-48.834000,5.3130650000e-02,-43.344100,9.4312340000e-03,-10.890000,1.5356900000e-01,-41.259100,4.8550180000e-02,-43.297700,1.6904380000e-02,-47.462200,2.4243450000e-02,-49.849100,5.2064980000e-02,-42.011300,1.6254960000e-02,-45.503400,4.5927170000e-02,-41.153400,1.6551110000e-01,-42.301100,9.7132590000e-03,-9.723700,2.1265020000e-02,-26.784500,2.1305980000e-02,-55.260700,2.1303350000e-02,-27.649800,1.5586630000e-02,-53.207600,2.1466650000e-03,-84.313100,1.4084860000e-01,-32.706200
300.000000,1.4989660000e-01,-41.736000,4.5344540000e-03,-76.129000,2.4741940000e-02,-33.923300,1.6643990000e-02,-60.598000,1.8631040000e-02,-67.851900,2.6863280000e-02,-33.768900,9.3462790000e-03,-25.383600,1.6350140000e-01,-52.665900,2.1297820000e-02,-58.886300,3.5814990000e-02,-51.137400,4.1881030000e-02,-51.707900,1.8030380000e-02,-66.133400,2.7062800000e-02,-36.887200,1.6833780000e-02,-64.429200,1.3487790000e-01,-39.955500,3.6312020000e-03,-78.148600,1.3044690000e-02,-61.509900,2.5238750000e-02,-35.670400,1.3743260000e-02,-62.273400,4.4498410000e-02,-53.372500,9.2509490000e-03,-21.316000,1.2765240000e-01,-50.682400,4.0234300000e-02,-53.301800,1.3844700000e-02,-59.555600,1.9349560000e-02,-61.861900,4.3966880000e-02,-52.043600,1.3486300000e-02,-57.454600,3.8081370000e-02,-50.283200,1.3811210000e-01,-52.536900,9.5831830000e-03,-20.823400,1.9066720000e-02,-35.195100,1.6965980000e-02,-69.512100,1.8749170000e-02,-34.929200,1.2460370000e-02,-67.518100,2.3164310000e-03,-105.683500,1.2187170000e-01,-40.337800
400.000000,1.3350590000e-01,-49.163800,4.3799380000e-03,-92.558600,2.2386270000e-02,-39.886500,1.3895710000e-02,-71.383500,1.5362470000e-02,-79.737900,2.4237880000e-02,-39.454100,8.9710000000e-03,-35.735900,1.4189710000e-01,-61.273500,1.7906600000e-02,-67.729400,3.0648550000e-02,-58.475400,3.6405430000e-02,-60.133100,1.4873640000e-02,-75.972700,2.4333770000e-02,-43.770300,1.4130470000e-02,-76.422500,1.2015880000e-01,-46.410200,3.4400300000e-03,-93.468000,1.1121780000e-02,-73.965000,2.2545660000e-02,-41.098200,1.1671990000e-02,-73.136200,3.8450810000e-02,-61.799600,8.8817360000e-03,-29.534900,1.0972990000e-01,-58.330800,3.4748730000e-02,-61.691200,1.1764180000e-02,-69.323100,1.6117280000e-02,-71.347200,3.8204330000e-02,-60.503600,1.1549160000e-02,-67.056000,3.2710570000e-02,-57.600400,1.1988720000e-01,-61.218900,9.1927890000e-03,-29.353900,1.7296140000e-02,-42.112300,1.4052260000e-02,-81.746900,1.6850360000e-02,-40.610000,1.0364510000e-02,-79.549300,2.4631390000e-03,-122.540200,1.0817870000e-01,-46.524200
500.000000,1.2060010000e-01,-55.598300,4.2493460000e-03,-106.878300,2.0535390000e-02,-44.870200,1.1848620000e-02,-80.680700,1.2899690000e-02,-90.426000,2.2115370000e-02,-44.277400,8.5280630000e-03,-44.164400,1.2543260000e-01,-68.856300,1.5506990000e-02,-75.302300,2.6793410000e-02,-64.517700,3.1988200000e-02,-67.655100,1.2667950000e-02,-84.469000,2.2138480000e-02,-49.622400,1.2128570000e-02,-87.081800,1.0899160000e-01,-51.949600,3.3087480000e-03,-106.426300,9.5816260000e-03,-85.262500,2.0443510000e-02,-45.693100,1.0169220000e-02,-82.581100,3.3874080000e-02,-69.199900,8.4899800000e-03,-36.328300,9.6221990000e-02,-64.709900,3.0410010000e-02,-69.189700,1.0260430000e-02,-77.815200,1.3817990000e-02,-79.488400,3.3785400000e-02,-67.932800,1.0138800000e-02,-75.287100,2.8678020000e-02,-63.629900,1.0520640000e-01,-68.983300,8.7561310000e-03,-36.283500,1.5842460000e-02,-47.966700,1.1952320000e-02,-92.577800,1.5401660000e-02,-45.341100,8.8500460000e-03,-90.098900,2.5540830000e-03,-136.280800,9.7546340000e-02,-51.898700
600.000000,1.1024260000e-01,-61.552200,4.1451530000e-03,-119.543500,1.9037290000e-02,-49.194900,1.0253950000e-02,-88.003800,1.1028390000e-02,-99.295300,2.0284380000e-02,-48.124900,8.0938750000e-03,-51.584700,1.1199230000e-01,-75.830900,1.3700500000e-02,-82.051700,2.3871020000e-02,-70.074400,2.8431210000e-02,-73.569600,1.0985390000e-02,-91.754800,2.0374430000e-02,-54.938200,1.0550360000e-02,-96.880700,1.0004300000e-01,-56.855400,3.2661120000e-03,-118.068600,8.3618550000e-03,-94.714200,1.8674710000e-02,-49.374300,9.0235230000e-03,-91.314400,3.0155290000e-02,-75.983900,8.1177800000e-03,-42.141200,8.5931620000e-02,-70.552300,2.6955390000e-02,-75.108700,9.0847890000e-03,-85.111300,1.2118010000e-02,-86.971700,3.0178340000e-02,-74.737700,9.0455030000e-03,-82.666300,2.5610270000e-02,-69.203700,9.3447320000e-02,-75.167900,8.2907100000e-03,-41.852400,1.4639500000e-02,-53.288300,1.0335040000e-02,-102.568500,1.4230040000e-02,-49.422300,7.7643000000e-03,-100.009700,2.6079270000e-03,-146.972100,8.8604590000e-02,-56.329500
