Parameter,Value
A1,6.6167207320e+03
A2,1.1590854335e+07
p,0.50
wc_Hz,0.1000
CV_a1,59.4071
CV_a2,72.4688

B_modified
2.3649653391e-01,-6.3750134291e-03,-3.2665170928e-02,-3.4367994647e-02,-4.0822560813e-02,-3.4290200780e-02
-3.7132035184e-03,2.8182388613e-01,-4.2674220507e-02,-6.7505171183e-02,-7.7871996313e-02,-3.6827701752e-02
-3.7510463355e-02,-3.2792928472e-02,2.1076077319e-01,-6.0216385182e-03,-2.6474882554e-02,-3.4145880525e-02
-2.4474562761e-02,-7.7726859573e-02,-5.5640519115e-03,2.3607649497e-01,-7.7044765144e-02,-2.4084183281e-02
-4.1286406172e-02,-7.6047559783e-02,-2.3396381291e-02,-7.1950514838e-02,2.5716252803e-01,-4.4559931114e-03
-2.4440782891e-02,-3.2960181948e-02,-2.5733297781e-02,-2.4493735668e-02,-2.9534096486e-03,1.8451882605e-01

Discrete_Parameters
T_sample,1.0000000000e-05
num_z_b0,5.6691463066e-04
num_z_b1,5.5454771664e-04
den_z_a1,-1.9348528871e+00
den_z_a2,9.3597434944e-01
pole_z1_real,9.6742644355e-01
pole_z1_imag,7.7734012751e-03
pole_z2_real,9.6742644355e-01
pole_z2_imag,-7.7734012751e-03
