Frequency_Hz,H_11_Mag,H_11_Phase_deg,H_12_Mag,H_12_Phase_deg,H_13_Mag,H_13_Phase_deg,H_14_Mag,H_14_Phase_deg,H_15_Mag,H_15_Phase_deg,H_16_Mag,H_16_Phase_deg,H_21_Mag,H_21_Phase_deg,H_22_Mag,H_22_Phase_deg,H_23_Mag,H_23_Phase_deg,H_24_Mag,H_24_Phase_deg,H_25_Mag,H_25_Phase_deg,H_26_Mag,H_26_Phase_deg,H_31_Mag,H_31_Phase_deg,H_32_Mag,H_32_Phase_deg,H_33_Mag,H_33_Phase_deg,H_34_Mag,H_34_Phase_deg,H_35_Mag,H_35_Phase_deg,H_36_Mag,H_36_Phase_deg,H_41_Mag,H_41_Phase_deg,H_42_Mag,H_42_Phase_deg,H_43_Mag,H_43_Phase_deg,H_44_Mag,H_44_Phase_deg,H_45_Mag,H_45_Phase_deg,H_46_Mag,H_46_Phase_deg,H_51_Mag,H_51_Phase_deg,H_52_Mag,H_52_Phase_deg,H_53_Mag,H_53_Phase_deg,H_54_Mag,H_54_Phase_deg,H_55_Mag,H_55_Phase_deg,H_56_Mag,H_56_Phase_deg,H_61_Mag,H_61_Phase_deg,H_62_Mag,H_62_Phase_deg,H_63_Mag,H_63_Phase_deg,H_64_Mag,H_64_Phase_deg,H_65_Mag,H_65_Phase_deg,H_66_Mag,H_66_Phase_deg
0.100000,2.3705150000e-01,169.751100,6.3478780000e-03,172.455500,3.2676180000e-02,-9.395000,3.4424020000e-02,165.420100,4.0898420000e-02,166.335500,3.4277620000e-02,-8.650300,3.6450270000e-03,0.691000,2.8151360000e-01,-9.657000,4.2739740000e-02,-11.166100,6.7600760000e-02,169.876800,7.8029190000e-02,170.077600,3.6830740000e-02,-10.608800,3.7587690000e-02,-9.255800,3.2619000000e-02,165.721400,2.1092650000e-01,169.373800,6.0135340000e-03,170.212500,2.6558720000e-02,165.044400,3.4125140000e-02,-9.042600,2.4498440000e-02,-10.180700,7.7640960000e-02,170.578400,5.5334830000e-03,-4.561900,2.3637650000e-01,-10.483300,7.7199180000e-02,169.931200,2.4108860000e-02,-10.053400,4.1522710000e-02,-11.076400,7.5921020000e-02,170.513300,2.3426680000e-02,-9.793300,7.2071290000e-02,169.568200,2.5766190000e-01,-10.277100,4.4181520000e-03,-1.456600,2.4450150000e-02,-8.443300,3.3054860000e-02,167.335100,2.5744010000e-02,-9.503400,2.4511040000e-02,166.679600,2.9553120000e-03,170.602400,1.8450340000e-01,170.615800
0.996678,2.3353380000e-01,169.653300,6.5795630000e-03,171.161100,3.2490930000e-02,-9.367800,3.4284470000e-02,165.277800,4.0645760000e-02,165.427000,3.4096450000e-02,-8.742300,3.8405750000e-03,-0.088800,2.8419210000e-01,-10.224500,4.2454460000e-02,-11.397100,6.7271740000e-02,169.725800,7.7663150000e-02,169.429400,3.6730460000e-02,-11.160500,3.6972670000e-02,-9.180600,3.4254420000e-02,164.964800,2.0973820000e-01,169.245400,6.1146160000e-03,170.020100,2.6392250000e-02,164.076900,3.4013780000e-02,-9.276600,2.4435400000e-02,-10.402000,7.8285970000e-02,169.978500,5.5118210000e-03,-4.365500,2.3545610000e-01,-10.610600,7.6786070000e-02,169.201000,2.3941370000e-02,-10.335700,4.0082830000e-02,-10.874000,7.7139720000e-02,169.937500,2.3266380000e-02,-10.061500,7.1720760000e-02,169.433700,2.5632720000e-01,-10.951300,4.3884880000e-03,-0.679300,2.4304470000e-02,-8.444400,3.2039810000e-02,166.885000,2.5605580000e-02,-9.444800,2.4295580000e-02,166.588200,2.9886830000e-03,168.578300,1.8377440000e-01,170.304700
10.000000,2.3525810000e-01,166.578500,6.0892780000e-03,165.509000,3.3057370000e-02,-10.629200,3.4785660000e-02,159.888900,4.2477750000e-02,159.688800,3.6655980000e-02,-10.719100,4.0739780000e-03,10.926200,2.9217060000e-01,-14.281000,4.3291470000e-02,-15.538900,6.8467970000e-02,165.061500,7.5140930000e-02,165.914900,4.0221820000e-02,-16.137200,3.7552230000e-02,-10.730700,3.3566570000e-02,160.010200,2.1297030000e-01,166.209600,5.6544190000e-03,162.813300,2.4470610000e-02,160.340200,3.6925300000e-02,-11.520100,2.4327610000e-02,-13.637600,8.1867020000e-02,165.624300,5.8818220000e-03,-0.837900,2.3789580000e-01,-14.986100,7.5397750000e-02,165.335900,2.4252130000e-02,-13.739100,4.1102240000e-02,-15.548600,7.7725970000e-02,166.089100,2.3089110000e-02,-12.991300,7.1614780000e-02,165.193500,2.5015310000e-01,-14.495900,5.2312960000e-03,3.511200,2.4527620000e-02,-9.040100,3.8134700000e-02,160.445300,2.6095070000e-02,-10.774000,2.7164270000e-02,160.142200,2.7214100000e-03,157.374100,1.9632740000e-01,166.739500
50.000000,2.2006880000e-01,157.210500,5.3782200000e-03,149.939800,3.3065980000e-02,-17.362800,3.0778930000e-02,146.367000,3.7456810000e-02,144.267200,3.6207580000e-02,-17.697900,6.4154590000e-03,16.282700,2.7089110000e-01,-26.830100,4.0045900000e-02,-29.502400,6.2182080000e-02,152.401500,6.9610800000e-02,153.362000,3.6545470000e-02,-31.966600,3.7112690000e-02,-18.348400,3.0384670000e-02,146.195800,2.0060820000e-01,157.074500,4.8502280000e-03,145.437800,2.2223020000e-02,147.489400,3.6072590000e-02,-19.338000,2.3275790000e-02,-26.923100,7.5412190000e-02,152.695000,7.3541630000e-03,4.349200,2.1735130000e-01,-27.345000,6.9374940000e-02,152.237400,2.3391770000e-02,-26.595500,3.7446550000e-02,-30.396200,7.2193860000e-02,153.641100,2.2215030000e-02,-25.523600,6.5335180000e-02,152.730000,2.3182910000e-01,-27.159200,6.8993710000e-03,10.474300,2.5039070000e-02,-16.041900,3.3505790000e-02,144.557700,2.6232910000e-02,-18.078900,2.3740960000e-02,145.205500,2.0895380000e-03,129.910400,1.8308020000e-01,157.204000
100.000000,2.0169090000e-01,148.941900,5.0586260000e-03,137.133500,3.1437070000e-02,-25.010700,2.6635400000e-02,134.687100,3.1683740000e-02,131.067200,3.4339140000e-02,-24.762600,8.2312970000e-03,6.980500,2.4024780000e-01,-37.782900,3.4627740000e-02,-42.302600,5.4689280000e-02,141.771300,6.1877890000e-02,142.530600,3.1040870000e-02,-45.834200,3.4922720000e-02,-26.301500,2.6589370000e-02,133.598600,1.8346030000e-01,148.808200,4.4059960000e-03,131.994000,1.9769800000e-02,135.770500,3.3640600000e-02,-26.977600,2.0968460000e-02,-40.273500,6.6438850000e-02,141.624100,8.6845890000e-03,-1.593600,1.9204650000e-01,-37.877400,6.0983950000e-02,141.035600,2.1167260000e-02,-39.416500,3.2133660000e-02,-43.559000,6.4216380000e-02,142.760300,2.0132440000e-02,-38.013000,5.7624760000e-02,142.149500,2.0542390000e-01,-38.146200,8.6238630000e-03,4.244500,2.3882700000e-02,-23.984300,2.8342920000e-02,131.124700,2.4613180000e-02,-26.279500,2.0365820000e-02,132.445200,1.9672600000e-03,114.275400,1.6682470000e-01,149.278100
200.000000,1.7179760000e-01,136.981800,4.7652780000e-03,115.168700,2.7772760000e-02,-35.799900,2.0660510000e-02,117.598200,2.3722660000e-02,112.438100,3.0291420000e-02,-35.317600,9.4137110000e-03,-11.250900,1.9398770000e-01,-52.159700,2.6431070000e-02,-58.905800,4.3362630000e-02,127.924600,5.0075480000e-02,128.341500,2.2994050000e-02,-64.465300,3.0547630000e-02,-37.703400,2.0730100000e-02,115.166200,1.5518100000e-01,137.399500,3.9436700000e-03,109.900900,1.5885670000e-02,117.693100,2.8908060000e-02,-37.751100,1.6726880000e-02,-59.014700,5.3130650000e-02,127.234300,9.4312340000e-03,-15.451900,1.5356900000e-01,-51.742400,4.8550180000e-02,126.633500,1.6904380000e-02,-57.515600,2.4243450000e-02,-60.925500,5.2064980000e-02,128.502000,1.6254960000e-02,-55.296700,4.5927170000e-02,128.414800,1.6551110000e-01,-52.578200,9.7132590000e-03,-11.180300,2.1265020000e-02,-35.227800,2.1305980000e-02,112.074400,2.1303350000e-02,-37.153200,1.5586630000e-02,113.472000,2.1466650000e-03,86.289300,1.4084860000e-01,137.909600
300.000000,1.4989660000e-01,128.015100,4.5344540000e-03,96.326500,2.4741940000e-02,-43.318300,1.6643990000e-02,104.822100,1.8631040000e-02,98.483600,2.6863280000e-02,-42.419200,9.3462790000e-03,-24.692600,1.6350140000e-01,-62.322900,2.1297820000e-02,-70.052400,3.5814990000e-02,118.739400,4.1881030000e-02,118.369700,1.8030380000e-02,-76.742200,2.7062800000e-02,-46.143000,1.6833780000e-02,101.292200,1.3487790000e-01,129.418300,3.6312020000e-03,92.063900,1.3044690000e-02,103.534500,2.5238750000e-02,-44.713000,1.3743260000e-02,-72.454100,4.4498410000e-02,117.205900,9.2509490000e-03,-25.877900,1.2765240000e-01,-61.165700,4.0234300000e-02,116.629400,1.3844700000e-02,-69.609000,1.9349560000e-02,-72.938300,4.3966880000e-02,118.469700,1.3486300000e-02,-67.247900,3.8081370000e-02,119.285000,1.3811210000e-01,-62.814000,9.5831830000e-03,-22.280000,1.9066720000e-02,-43.638400,1.6965980000e-02,97.823000,1.8749170000e-02,-44.432600,1.2460370000e-02,99.161500,2.3164310000e-03,64.918900,1.2187170000e-01,130.278000
400.000000,1.3350590000e-01,120.587300,4.3799380000e-03,79.896900,2.2386270000e-02,-49.281500,1.3895710000e-02,94.036600,1.5362470000e-02,86.597600,2.4237880000e-02,-48.104400,8.9710000000e-03,-35.044900,1.4189710000e-01,-70.930500,1.7906600000e-02,-78.895500,3.0648550000e-02,111.401400,3.6405430000e-02,109.944500,1.4873640000e-02,-86.581500,2.4333770000e-02,-53.026100,1.4130470000e-02,89.298900,1.2015880000e-01,122.963600,3.4400300000e-03,76.744500,1.1121780000e-02,91.079400,2.2545660000e-02,-50.140800,1.1671990000e-02,-83.316900,3.8450810000e-02,108.778800,8.8817360000e-03,-34.096800,1.0972990000e-01,-68.814100,3.4748730000e-02,108.240000,1.1764180000e-02,-79.376500,1.6117280000e-02,-82.423600,3.8204330000e-02,110.009700,1.1549160000e-02,-76.849300,3.2710570000e-02,111.967800,1.1988720000e-01,-71.496000,9.1927890000e-03,-30.810500,1.7296140000e-02,-50.555600,1.4052260000e-02,85.588200,1.6850360000e-02,-50.113400,1.0364510000e-02,87.130300,2.4631390000e-03,48.062200,1.0817870000e-01,124.091600
500.000000,1.2060010000e-01,114.152800,4.2493460000e-03,65.577200,2.0535390000e-02,-54.265200,1.1848620000e-02,84.739400,1.2899690000e-02,75.909500,2.2115370000e-02,-52.927700,8.5280630000e-03,-43.473400,1.2543260000e-01,-78.513300,1.5506990000e-02,-86.468400,2.6793410000e-02,105.359100,3.1988200000e-02,102.422500,1.2667950000e-02,-95.077800,2.2138480000e-02,-58.878200,1.2128570000e-02,78.639600,1.0899160000e-01,117.424200,3.3087480000e-03,63.786200,9.5816260000e-03,79.781900,2.0443510000e-02,-54.735700,1.0169220000e-02,-92.761800,3.3874080000e-02,101.378500,8.4899800000e-03,-40.890200,9.6221990000e-02,-75.193200,3.0410010000e-02,100.741500,1.0260430000e-02,-87.868600,1.3817990000e-02,-90.564800,3.3785400000e-02,102.580500,1.0138800000e-02,-85.080400,2.8678020000e-02,105.938300,1.0520640000e-01,-79.260400,8.7561310000e-03,-37.740100,1.5842460000e-02,-56.410000,1.1952320000e-02,74.757300,1.5401660000e-02,-54.844500,8.8500460000e-03,76.580700,2.5540830000e-03,34.321600,9.7546340000e-02,118.717100
600.000000,1.1024260000e-01,108.198900,4.1451530000e-03,52.912000,1.9037290000e-02,-58.589900,1.0253950000e-02,77.416300,1.1028390000e-02,67.040200,2.0284380000e-02,-56.775200,8.0938750000e-03,-50.893700,1.1199230000e-01,-85.487900,1.3700500000e-02,-93.217800,2.3871020000e-02,99.802400,2.8431210000e-02,96.508000,1.0985390000e-02,-102.363600,2.0374430000e-02,-64.194000,1.0550360000e-02,68.840700,1.0004300000e-01,112.518400,3.2661120000e-03,52.143900,8.3618550000e-03,70.330200,1.8674710000e-02,-58.416900,9.0235230000e-03,-101.495100,3.0155290000e-02,94.594500,8.1177800000e-03,-46.703100,8.5931620000e-02,-81.035600,2.6955390000e-02,94.822500,9.0847890000e-03,-95.164700,1.2118010000e-02,-98.048100,3.0178340000e-02,95.775600,9.0455030000e-03,-92.459600,2.5610270000e-02,100.364500,9.3447320000e-02,-85.445000,8.2907100000e-03,-43.309000,1.4639500000e-02,-61.731600,1.0335040000e-02,64.766600,1.4230040000e-02,-58.925700,7.7643000000e-03,66.669900,2.6079270000e-03,23.630300,8.8604590000e-02,114.286300
