Frequency_Hz,H_11_Mag,H_11_Phase_deg,H_12_Mag,H_12_Phase_deg,H_13_Mag,H_13_Phase_deg,H_14_Mag,H_14_Phase_deg,H_15_Mag,H_15_Phase_deg,H_16_Mag,H_16_Phase_deg,H_21_Mag,H_21_Phase_deg,H_22_Mag,H_22_Phase_deg,H_23_Mag,H_23_Phase_deg,H_24_Mag,H_24_Phase_deg,H_25_Mag,H_25_Phase_deg,H_26_Mag,H_26_Phase_deg,H_31_Mag,H_31_Phase_deg,H_32_Mag,H_32_Phase_deg,H_33_Mag,H_33_Phase_deg,H_34_Mag,H_34_Phase_deg,H_35_Mag,H_35_Phase_deg,H_36_Mag,H_36_Phase_deg,H_41_Mag,H_41_Phase_deg,H_42_Mag,H_42_Phase_deg,H_43_Mag,H_43_Phase_deg,H_44_Mag,H_44_Phase_deg,H_45_Mag,H_45_Phase_deg,H_46_Mag,H_46_Phase_deg,H_51_Mag,H_51_Phase_deg,H_52_Mag,H_52_Phase_deg,H_53_Mag,H_53_Phase_deg,H_54_Mag,H_54_Phase_deg,H_55_Mag,H_55_Phase_deg,H_56_Mag,H_56_Phase_deg,H_61_Mag,H_61_Phase_deg,H_62_Mag,H_62_Phase_deg,H_63_Mag,H_63_Phase_deg,H_64_Mag,H_64_Phase_deg,H_65_Mag,H_65_Phase_deg,H_66_Mag,H_66_Phase_deg
0.100000,2.1952311695e-01,0.000000,8.2243774086e-03,0.000000,1.2721216306e-02,0.000000,3.6904819310e-02,0.000000,1.5582936816e-02,0.000000,1.4733909629e-02,0.000000,1.0513350135e-03,0.000000,1.8884442747e-01,0.000000,9.1962916777e-03,0.000000,3.1065337826e-03,0.000000,4.2137358105e-04,0.000000,3.6059912294e-02,0.000000,1.6700137407e-02,0.000000,3.1789638102e-02,0.000000,2.2950682044e-01,0.000000,2.3136200383e-02,0.000000,6.8730533123e-02,0.000000,1.3332627714e-02,0.000000,2.8580043465e-02,0.000000,5.3073302843e-04,0.000000,1.2785295956e-02,0.000000,1.2209487706e-01,0.000000,1.1425563134e-02,0.000000,5.4599242285e-03,0.000000,6.1063724570e-03,0.000000,1.4954493381e-03,0.000000,3.3346783370e-02,0.000000,1.2964798138e-02,0.000000,1.2409346551e-01,0.000000,1.1099170661e-04,0.000000,1.0852106847e-02,0.000000,4.8276517540e-02,0.000000,1.3008076698e-02,0.000000,2.0712478086e-02,0.000000,3.1664185226e-03,0.000000,2.0923933387e-01,0.000000
1.000000,2.1953058243e-01,-0.934236,8.2034487277e-03,-0.007980,1.2747991830e-02,-0.745621,3.6885619164e-02,-0.592484,1.5573520213e-02,-1.464224,1.4709744602e-02,-0.654984,9.4811699819e-04,-8.076187,1.8866279721e-01,-0.931709,9.2762857676e-03,-1.838257,3.1093840953e-03,-0.979126,3.5179042607e-04,-9.788491,3.6053109914e-02,-1.850479,1.6667136922e-02,-1.025925,3.1694527715e-02,-1.567307,2.2943675518e-01,-1.009933,2.3139407858e-02,-0.502024,6.8753398955e-02,-0.885264,1.3307803310e-02,-0.500565,2.8607448563e-02,-2.063049,6.2515470199e-04,0.357147,1.2698730454e-02,-0.086405,1.2206978351e-01,-0.826065,1.1404155754e-02,-0.508457,5.4130326025e-03,-3.254166,6.1762947589e-03,-2.916122,1.5460702125e-03,-4.815826,3.3365096897e-02,-1.540817,1.2949549593e-02,-0.901123,1.2407208234e-01,-0.841736,2.0531688642e-04,-3.958076,1.0826399550e-02,-0.682632,4.8121444881e-02,-0.835831,1.2985862792e-02,-1.060730,2.0756997168e-02,-1.296463,3.1377677806e-03,0.483370,2.0919369161e-01,-0.981676
10.000000,2.1550048888e-01,-10.613218,8.2611897960e-03,-4.926285,1.2571027502e-02,-8.869049,3.6180067807e-02,-8.393387,1.5172138810e-02,-15.943976,1.4560568146e-02,-9.487335,1.2638730695e-03,-53.061523,1.8534374237e-01,-10.220718,8.9576570317e-03,-24.378799,3.0319390353e-03,-18.487335,5.8795814402e-04,-63.304058,3.5556610674e-02,-20.125595,1.6432609409e-02,-9.279312,3.0566848814e-02,-16.029907,2.2459329665e-01,-11.302970,2.3645738140e-02,-6.906782,6.7395307124e-02,-9.772997,1.2975162826e-02,-10.148148,2.8492394835e-02,-21.321030,9.8454684485e-04,-55.674141,1.2835244648e-02,-4.096596,1.1998344213e-01,-9.625121,1.1461490765e-02,-5.911638,5.6412979029e-03,-32.698563,6.0742702335e-03,-28.585785,1.7566501629e-03,-37.216232,3.2883264124e-02,-17.824188,1.3063876890e-02,-10.014297,1.2233655155e-01,-9.705276,7.2152819484e-04,6.290054,1.0653951205e-02,-8.851959,4.7082129866e-02,-9.155533,1.2764978223e-02,-10.544876,2.0068436861e-02,-15.395432,3.1947933603e-03,-1.081082,2.0501998067e-01,-10.888233
50.000000,1.6185984015e-01,-43.242899,8.0967498943e-03,-30.573700,9.7478749231e-03,-35.476746,2.8631843626e-02,-33.210388,1.0702557862e-02,-67.202166,1.1171299033e-02,-38.800598,3.3131430391e-03,-135.579449,1.4304862916e-01,-41.637989,6.4291758463e-03,-104.270943,2.6557378005e-03,-87.102562,1.9514212618e-03,-144.758411,3.0921017751e-02,-84.706726,1.3128266670e-02,-39.127548,1.9953446463e-02,-62.664108,1.6419062018e-01,-45.632040,2.0009774715e-02,-35.592672,5.0313085318e-02,-38.421512,9.9550159648e-03,-40.774033,2.7644744143e-02,-89.628326,3.0144110788e-03,-131.440168,1.2360738590e-02,-24.051954,9.4509810209e-02,-39.146939,9.9604446441e-03,-32.830166,6.2324153259e-03,-126.699833,6.0352701694e-03,-116.625641,2.8948537074e-03,-123.474689,2.6612328365e-02,-76.672661,1.0988562368e-02,-52.027603,9.7418308258e-02,-41.005066,2.3279071320e-03,-46.683403,8.6108716205e-03,-39.795395,3.6014974117e-02,-35.752548,9.4455908984e-03,-42.589951,1.2946005911e-02,-61.333641,3.3774026670e-03,-16.023662,1.5251810849e-01,-44.214849
100.000000,1.0780647397e-01,-64.347341,6.2535922043e-03,-57.394676,7.2896871716e-03,-52.232277,2.1196354181e-02,-49.063568,7.0478492416e-03,-105.191714,7.8422725201e-03,-57.305115,3.6927955225e-03,-184.667216,1.0112047940e-01,-63.192924,4.7721881419e-03,-164.949871,1.8058151472e-03,-156.111668,2.2162375972e-03,165.826840,2.7340203524e-02,-128.857826,9.2936987057e-03,-61.536896,1.1926092207e-02,-93.981819,1.0667226464e-01,-66.909064,1.3895706274e-02,-54.581289,3.4881923348e-02,-54.345283,7.1263867430e-03,-62.310799,2.6622679085e-02,-133.316559,3.4563653171e-03,-176.120547,1.0685487650e-02,-44.245304,6.8486966193e-02,-59.868054,7.1073709987e-03,-49.769337,5.7491636835e-03,-180.286222,5.5953743868e-03,-176.016201,3.2415934838e-03,-181.778588,2.1483508870e-02,-118.672997,7.6015763916e-03,-85.586189,7.0231534541e-02,-63.832489,2.8655729257e-03,-85.613052,6.2760650180e-03,-61.667305,2.5561001152e-02,-51.512993,6.4673167653e-03,-62.679344,7.5475675985e-03,-89.124054,3.1932832208e-03,-38.827489,1.0006704181e-01,-65.447992
200.000000,6.1352368444e-02,-84.756445,3.9973459207e-03,-89.248589,4.7938544303e-03,-71.431664,1.4342376962e-02,-66.538551,4.3984618969e-03,-149.934153,4.7491597943e-03,-79.728546,2.6201421861e-03,-230.148628,6.4628228545e-02,-87.986908,3.1174907926e-03,-233.187794,1.2766205473e-03,-250.227226,1.6316247638e-03,115.122853,2.3607591167e-02,-166.821259,5.5918847211e-03,-88.157547,6.2483823858e-03,-131.025597,5.8837208897e-02,-87.252081,8.3039049059e-03,-69.619714,2.2094752640e-02,-69.534534,4.3343086727e-03,-87.158630,2.4535700679e-02,-170.022486,2.4798708037e-03,-226.008232,7.6819905080e-03,-70.286342,4.4109005481e-02,-84.757310,4.8159705475e-03,-62.136761,4.2200847529e-03,-230.287106,4.2736199684e-03,-234.252701,2.3232493550e-03,-237.374538,1.7809759825e-02,-158.690947,4.7410600819e-03,-118.008110,4.4975481927e-02,-90.942307,2.1274769679e-03,-135.407867,3.8585690781e-03,-93.174980,1.7033856362e-02,-67.681519,3.8500714581e-03,-85.607613,4.1161295958e-03,-122.032925,2.1646844689e-03,-71.206292,5.5008657277e-02,-85.297258
500.000000,2.4730069563e-02,-116.523283,1.5722546959e-03,-142.222630,2.0641097799e-03,-108.151337,7.6986309141e-03,-101.778275,2.3810712155e-03,145.848959,1.6915570013e-03,-112.530579,8.6577859474e-04,-270.562767,3.5537347198e-02,-135.299843,1.5457626432e-03,-314.855652,8.5666682571e-04,-349.044342,3.8979313103e-04,79.972599,1.8616754562e-02,-203.243275,1.7863617977e-03,-135.644249,2.8528268449e-03,-188.097456,2.2567883134e-02,-117.676001,4.3698051013e-03,-86.925447,1.1440277100e-02,-99.789035,1.7470539315e-03,-135.583927,2.0046088845e-02,-206.765408,9.2352763750e-04,-278.099449,4.1606612504e-03,-110.297245,2.3263614625e-02,-132.743791,3.2493751496e-03,-98.738728,2.1458663978e-03,-287.001572,2.2646856960e-03,-308.827148,1.0117172496e-03,-301.776405,1.4365649782e-02,-198.974342,4.1480083019e-03,-153.499519,2.5381300598e-02,-141.687603,6.7462469451e-04,-180.223427,1.3648420572e-03,-146.159611,9.2200143263e-03,-100.684372,1.4563655714e-03,-132.909657,1.5471159713e-03,-187.291789,9.2530570691e-04,-120.377389,2.1486958489e-02,-112.588800
1000.000000,1.0522802360e-02,-151.226835,4.5298135956e-04,-212.908504,8.9221057715e-04,-133.449234,3.9475974627e-03,-144.509968,1.5003004810e-03,96.890882,4.2810221203e-04,-133.835583,4.2782133096e-04,-295.228767,2.3824084550e-02,173.289330,9.9559407681e-04,-353.180481,5.6550517911e-04,-31.768707,1.2579347822e-04,75.684521,1.5189234167e-02,-235.043873,3.4724068246e-04,-195.192003,1.5756995417e-03,-235.966412,9.4325719401e-03,-149.539603,2.7465401217e-03,-117.305689,5.8414405212e-03,-135.703479,6.9327396341e-04,-187.698513,1.6185184941e-02,-239.445190,3.6437230301e-04,-298.083115,3.2662069425e-03,-156.815662,1.4364624396e-02,175.089217,2.4091403466e-03,-142.757259,1.2101391330e-03,-337.222305,1.4351435238e-03,2.254395,4.9249740550e-04,-338.330963,1.1528786272e-02,-230.767399,4.4457418844e-03,-192.452790,1.7584677786e-02,-192.242791,3.1734060030e-04,-196.571136,5.3455441957e-04,-204.767275,5.0355386920e-03,-146.018185,3.3369657467e-04,-146.723309,9.0426573297e-04,-233.750973,2.6624256861e-04,-137.395852,9.2474203557e-03,-143.339609
1200.000000,8.0780005082e-03,-162.673918,2.7170078829e-04,-243.315338,7.7314319788e-04,-144.509823,3.1534857117e-03,-162.526073,1.2450204231e-03,85.803846,3.0462551513e-04,-100.893341,4.3037912110e-04,-307.604462,2.1367721260e-02,158.173546,9.1985368636e-04,-16.420227,5.8784888824e-04,-49.077637,1.0835579451e-04,87.441891,1.4013249427e-02,-246.213646,1.3314385433e-04,-149.074173,1.1488867458e-03,-250.286377,7.4207577854e-03,-160.597861,2.2903752979e-03,-128.036409,4.6634725295e-03,-153.462223,5.0130375894e-04,-216.477894,1.4779445715e-02,-248.409447,4.5831737225e-04,3.723526,3.0331087764e-03,-167.834034,1.2491344474e-02,160.647079,2.4124197662e-03,-158.668819,1.1627861531e-03,-348.991318,1.4274272835e-03,-16.095367,4.4804008212e-04,-5.124786,1.0729116388e-02,-242.457321,4.2415708303e-03,-199.975254,1.5997834504e-02,-208.754408,2.3999267432e-04,-222.544968,3.3525875187e-04,-210.224937,4.1396813467e-03,-158.801311,1.1536250531e-04,-207.691057,6.2545540277e-04,-270.519859,2.3844522366e-04,-151.974008,7.0885340683e-03,-154.184534
1250.000000,7.8435940668e-03,-165.287031,1.8466610345e-04,-225.033192,6.5684848232e-04,-155.843452,2.9400261119e-03,-163.630638,1.2266604463e-03,78.964857,1.6113874153e-04,-127.411438,3.3477312536e-04,-315.946716,2.0965976641e-02,154.460091,7.8765623039e-04,-10.710907,5.4008601001e-04,-34.451797,1.5788029123e-04,29.757403,1.3704961166e-02,-245.632629,1.3285521709e-04,-154.913710,1.0968344286e-03,-258.563835,6.9695306011e-03,-163.443472,2.1960968152e-03,-130.418901,4.4385138899e-03,-157.492420,4.2828737060e-04,-200.219496,1.4470273629e-02,-250.961723,2.0002581005e-04,-284.532127,2.8974064626e-03,-172.991138,1.2341299094e-02,155.154784,2.1641675849e-03,-164.898357,9.8931451794e-04,-0.868774,1.3719289564e-03,-19.348129,2.2391151288e-04,1.490570,1.0638545267e-02,-243.133057,4.4259703718e-03,-203.088837,1.5540805645e-02,-211.831047,4.5909770415e-04,-209.488510,3.7465654896e-04,-231.209007,4.1273501702e-03,-166.326483,1.1189693760e-04,-101.120743,6.4909347566e-04,-267.391235,2.0810181741e-04,169.009452,6.8616229109e-03,-154.012094
