Parameter,Value
A1,1.2243340044e+03
A2,8.6007008846e+05
p,0.50
wc_Hz,0.1000
CV_a1,83.0842
CV_a2,90.3766

B_modified
2.1929157875e-01,-8.2146658690e-03,-1.2732059777e-02,-3.6945319139e-02,-1.5499299283e-02,-1.4701200928e-02
-1.0085442576e-03,1.8897947202e-01,-9.1170002162e-03,-3.0818067616e-03,-4.0281194112e-04,-3.5869121631e-02
-1.6654309703e-02,-3.1655071941e-02,2.2915842840e-01,-2.3199277329e-02,-6.8746331485e-02,-1.3311907168e-02
-2.8354708156e-02,-5.2147116448e-04,-1.2902472079e-02,1.2216664248e-01,-1.1521536115e-02,-5.3579766300e-03
-6.0132147002e-03,-1.4767392264e-03,-3.3220538153e-02,-1.3087718506e-02,1.2418978473e-01,-1.4482577177e-04
-1.0834480590e-02,-4.8308804861e-02,-1.2977823177e-02,-2.0636412244e-02,-3.1702100127e-03,2.0896950015e-01

Discrete_Parameters
T_sample,1.0000000000e-05
num_z_b0,4.2828231406e-05
num_z_b1,4.2653800411e-05
den_z_a1,-1.9877458227e+00
den_z_a2,9.8783130470e-01
pole_z1_real,9.9387291133e-01
pole_z1_imag,6.9239306969e-03
pole_z2_real,9.9387291133e-01
pole_z2_imag,-6.9239306969e-03
