Frequency_Hz,H_11_Mag,H_11_Phase_deg,H_12_Mag,H_12_Phase_deg,H_13_Mag,H_13_Phase_deg,H_14_Mag,H_14_Phase_deg,H_15_Mag,H_15_Phase_deg,H_16_Mag,H_16_Phase_deg,H_21_Mag,H_21_Phase_deg,H_22_Mag,H_22_Phase_deg,H_23_Mag,H_23_Phase_deg,H_24_Mag,H_24_Phase_deg,H_25_Mag,H_25_Phase_deg,H_26_Mag,H_26_Phase_deg,H_31_Mag,H_31_Phase_deg,H_32_Mag,H_32_Phase_deg,H_33_Mag,H_33_Phase_deg,H_34_Mag,H_34_Phase_deg,H_35_Mag,H_35_Phase_deg,H_36_Mag,H_36_Phase_deg,H_41_Mag,H_41_Phase_deg,H_42_Mag,H_42_Phase_deg,H_43_Mag,H_43_Phase_deg,H_44_Mag,H_44_Phase_deg,H_45_Mag,H_45_Phase_deg,H_46_Mag,H_46_Phase_deg,H_51_Mag,H_51_Phase_deg,H_52_Mag,H_52_Phase_deg,H_53_Mag,H_53_Phase_deg,H_54_Mag,H_54_Phase_deg,H_55_Mag,H_55_Phase_deg,H_56_Mag,H_56_Phase_deg,H_61_Mag,H_61_Phase_deg,H_62_Mag,H_62_Phase_deg,H_63_Mag,H_63_Phase_deg,H_64_Mag,H_64_Phase_deg,H_65_Mag,H_65_Phase_deg,H_66_Mag,H_66_Phase_deg
0.100000,2.1952311695e-01,-1.186877,8.2243774086e-03,178.678482,1.2721216306e-02,178.562729,3.6904819310e-02,178.622147,1.5582936816e-02,-1.578115,1.4733909629e-02,178.628265,1.0513350135e-03,174.582397,1.8884442747e-01,-1.567223,9.1962916777e-03,174.955154,3.1065337826e-03,176.211212,4.2137358105e-04,-1.627377,3.6059912294e-02,177.583786,1.6700137407e-02,178.614182,3.1789638102e-02,177.324371,2.2950682044e-01,-1.631311,2.3136200383e-02,-0.632460,6.8730533123e-02,-1.678875,1.3332627714e-02,177.711899,2.8580043465e-02,177.953064,5.3073302843e-04,160.634979,1.2785295956e-02,-0.645474,1.2209487706e-01,-1.369308,1.1425563134e-02,-1.145008,5.4599242285e-03,174.199677,6.1063724570e-03,174.360016,1.4954493381e-03,176.108719,3.3346783370e-02,177.615952,1.2964798138e-02,178.351547,1.2409346551e-01,178.496033,1.1099170661e-04,71.268570,1.0852106847e-02,178.186783,4.8276517540e-02,178.032059,1.3008076698e-02,178.142136,2.0712478086e-02,177.650696,3.1664185226e-03,-1.351187,2.0923933387e-01,-1.610983
1.000000,2.1953058243e-01,-2.121112,8.2034487277e-03,178.670502,1.2747991830e-02,177.817108,3.6885619164e-02,178.029663,1.5573520213e-02,-3.042339,1.4709744602e-02,177.973282,9.4811699819e-04,166.506210,1.8866279721e-01,-2.498931,9.2762857676e-03,173.116898,3.1093840953e-03,175.232086,3.5179042607e-04,-11.415868,3.6053109914e-02,175.733307,1.6667136922e-02,177.588257,3.1694527715e-02,175.757065,2.2943675518e-01,-2.641244,2.3139407858e-02,-1.134484,6.8753398955e-02,-2.564139,1.3307803310e-02,177.211334,2.8607448563e-02,175.890015,6.2515470199e-04,160.992126,1.2698730454e-02,-0.731878,1.2206978351e-01,-2.195373,1.1404155754e-02,-1.653465,5.4130326025e-03,170.945511,6.1762947589e-03,171.443893,1.5460702125e-03,171.292892,3.3365096897e-02,176.075134,1.2949549593e-02,177.450424,1.2407208234e-01,177.654297,2.0531688642e-04,67.310493,1.0826399550e-02,177.504150,4.8121444881e-02,177.196228,1.2985862792e-02,177.081406,2.0756997168e-02,176.354233,3.1377677806e-03,-0.867818,2.0919369161e-01,-2.592659
10.000000,2.1550048888e-01,-11.800095,8.2611897960e-03,173.752197,1.2571027502e-02,169.693680,3.6180067807e-02,170.228760,1.5172138810e-02,-17.522091,1.4560568146e-02,169.140930,1.2638730695e-03,121.520874,1.8534374237e-01,-11.787941,8.9576570317e-03,150.576355,3.0319390353e-03,157.723877,5.8795814402e-04,-64.931435,3.5556610674e-02,157.458191,1.6432609409e-02,169.334869,3.0566848814e-02,161.294464,2.2459329665e-01,-12.934281,2.3645738140e-02,-7.539242,6.7395307124e-02,-11.451873,1.2975162826e-02,167.563751,2.8492394835e-02,156.632034,9.8454684485e-04,104.960838,1.2835244648e-02,-4.742070,1.1998344213e-01,-10.994429,1.1461490765e-02,-7.056646,5.6412979029e-03,141.501114,6.0742702335e-03,145.774231,1.7566501629e-03,138.892487,3.2883264124e-02,159.791763,1.3063876890e-02,168.337250,1.2233655155e-01,168.790756,7.2152819484e-04,77.558624,1.0653951205e-02,169.334824,4.7082129866e-02,168.876526,1.2764978223e-02,167.597260,2.0068436861e-02,162.255264,3.1947933603e-03,-2.432269,2.0501998067e-01,-12.499216
50.000000,1.6185984015e-01,-44.429775,8.0967498943e-03,148.104782,9.7478749231e-03,143.085983,2.8631843626e-02,145.411758,1.0702557862e-02,-68.780281,1.1171299033e-02,139.827667,3.3131430391e-03,39.002949,1.4304862916e-01,-43.205212,6.4291758463e-03,70.684212,2.6557378005e-03,89.108650,1.9514212618e-03,-146.385788,3.0921017751e-02,92.877060,1.3128266670e-02,139.486633,1.9953446463e-02,114.660263,1.6419062018e-01,-47.263351,2.0009774715e-02,-36.225132,5.0313085318e-02,-40.100388,9.9550159648e-03,136.937866,2.7644744143e-02,88.324738,3.0144110788e-03,29.194811,1.2360738590e-02,-24.697428,9.4509810209e-02,-40.516247,9.9604446441e-03,-33.975174,6.2324153259e-03,47.499844,6.0352701694e-03,57.734375,2.8948537074e-03,52.634029,2.6612328365e-02,100.943291,1.0988562368e-02,126.323944,9.7418308258e-02,137.490967,2.3279071320e-03,24.585167,8.6108716205e-03,138.391388,3.6014974117e-02,142.279510,9.4455908984e-03,135.552185,1.2946005911e-02,116.317055,3.3774026670e-03,-17.374849,1.5251810849e-01,-45.825832
100.000000,1.0780647397e-01,-65.534218,6.2535922043e-03,121.283806,7.2896871716e-03,126.330452,2.1196354181e-02,129.558578,7.0478492416e-03,-106.769829,7.8422725201e-03,121.323151,3.6927955225e-03,-10.084819,1.0112047940e-01,-64.760147,4.7721881419e-03,10.005283,1.8058151472e-03,20.099545,2.2162375972e-03,164.199463,2.7340203524e-02,48.725960,9.2936987057e-03,117.077286,1.1926092207e-02,83.342552,1.0667226464e-01,-68.540375,1.3895706274e-02,-55.213749,3.4881923348e-02,-56.024158,7.1263867430e-03,115.401100,2.6622679085e-02,44.636505,3.4563653171e-03,-15.485568,1.0685487650e-02,-44.890778,6.8486966193e-02,-61.237362,7.1073709987e-03,-50.914345,5.7491636835e-03,-6.086545,5.5953743868e-03,-1.656185,3.2415934838e-03,-5.669869,2.1483508870e-02,58.942955,7.6015763916e-03,92.765358,7.0231534541e-02,114.663544,2.8655729257e-03,-14.344482,6.2760650180e-03,116.519478,2.5561001152e-02,126.519066,6.4673167653e-03,115.462791,7.5475675985e-03,88.526642,3.1932832208e-03,-40.178677,1.0006704181e-01,-67.058975
200.000000,6.1352368444e-02,-85.943321,3.9973459207e-03,89.429893,4.7938544303e-03,107.131065,1.4342376962e-02,112.083595,4.3984618969e-03,-151.512268,4.7491597943e-03,98.899719,2.6201421861e-03,-55.566231,6.4628228545e-02,-89.554131,3.1174907926e-03,-58.232639,1.2766205473e-03,-74.016014,1.6316247638e-03,113.495476,2.3607591167e-02,10.762527,5.5918847211e-03,90.456635,6.2483823858e-03,46.298775,5.8837208897e-02,-88.883392,8.3039049059e-03,-70.252174,2.2094752640e-02,-71.213409,4.3343086727e-03,90.553268,2.4535700679e-02,7.930578,2.4798708037e-03,-65.373253,7.6819905080e-03,-70.931816,4.4109005481e-02,-86.126617,4.8159705475e-03,-63.281769,4.2200847529e-03,-56.087429,4.2736199684e-03,-59.892685,2.3232493550e-03,-61.265820,1.7809759825e-02,18.925005,4.7410600819e-03,60.343437,4.4975481927e-02,87.553726,2.1274769679e-03,-64.139297,3.8585690781e-03,85.011803,1.7033856362e-02,110.350540,3.8500714581e-03,92.534523,4.1161295958e-03,55.617771,2.1646844689e-03,-72.557480,5.5008657277e-02,-86.908241
500.000000,2.4730069563e-02,-117.710159,1.5722546959e-03,36.455853,2.0641097799e-03,70.411392,7.6986309141e-03,76.843872,2.3810712155e-03,144.270844,1.6915570013e-03,66.097687,8.6577859474e-04,-95.980370,3.5537347198e-02,-136.867065,1.5457626432e-03,-139.900497,8.5666682571e-04,-172.833130,3.8979313103e-04,78.345222,1.8616754562e-02,-25.659489,1.7863617977e-03,42.969933,2.8528268449e-03,-10.773085,2.2567883134e-02,-119.307312,4.3698051013e-03,-87.557907,1.1440277100e-02,-101.467911,1.7470539315e-03,42.127972,2.0046088845e-02,-28.812344,9.2352763750e-04,-117.464470,4.1606612504e-03,-110.942719,2.3263614625e-02,-134.113098,3.2493751496e-03,-99.883736,2.1458663978e-03,-112.801895,2.2646856960e-03,-134.467133,1.0117172496e-03,-125.667686,1.4365649782e-02,-21.358391,4.1480083019e-03,24.852028,2.5381300598e-02,36.808430,6.7462469451e-04,-108.954857,1.3648420572e-03,32.027172,9.2200143263e-03,77.347687,1.4563655714e-03,45.232479,1.5471159713e-03,-9.641093,9.2530570691e-04,-121.728577,2.1486958489e-02,-114.199783
1000.000000,1.0522802360e-02,-152.413712,4.5298135956e-04,-34.230022,8.9221057715e-04,45.113495,3.9475974627e-03,34.112179,1.5003004810e-03,95.312767,4.2810221203e-04,44.792683,4.2782133096e-04,-120.646370,2.3824084550e-02,171.722107,9.9559407681e-04,-178.225327,5.6550517911e-04,144.442505,1.2579347822e-04,74.057144,1.5189234167e-02,-57.460087,3.4724068246e-04,-16.577822,1.5756995417e-03,-58.642040,9.4325719401e-03,-151.170914,2.7465401217e-03,-117.938148,5.8414405212e-03,-137.382355,6.9327396341e-04,-9.986614,1.6185184941e-02,-61.492126,3.6437230301e-04,-137.448135,3.2662069425e-03,-157.461136,1.4364624396e-02,173.719910,2.4091403466e-03,-143.902267,1.2101391330e-03,-163.022629,1.4351435238e-03,176.614410,4.9249740550e-04,-162.222244,1.1528786272e-02,-53.151447,4.4457418844e-03,-14.101243,1.7584677786e-02,-13.746758,3.1734060030e-04,-125.302567,5.3455441957e-04,-26.580492,5.0355386920e-03,32.013874,3.3369657467e-04,31.418827,9.0426573297e-04,-56.100277,2.6624256861e-04,-138.747040,9.2474203557e-03,-144.950592
1200.000000,8.0780005082e-03,-163.860794,2.7170078829e-04,-64.636856,7.7314319788e-04,34.052906,3.1534857117e-03,16.096073,1.2450204231e-03,84.225731,3.0462551513e-04,77.734924,4.3037912110e-04,-133.022064,2.1367721260e-02,156.606323,9.1985368636e-04,158.534927,5.8784888824e-04,127.133575,1.0835579451e-04,85.814514,1.4013249427e-02,-68.629860,1.3314385433e-04,29.540009,1.1488867458e-03,-72.962006,7.4207577854e-03,-162.229172,2.2903752979e-03,-128.668869,4.6634725295e-03,-155.141098,5.0130375894e-04,-38.765995,1.4779445715e-02,-70.456383,4.5831737225e-04,164.358505,3.0331087764e-03,-168.479507,1.2491344474e-02,159.277771,2.4124197662e-03,-159.813828,1.1627861531e-03,-174.791641,1.4274272835e-03,158.264648,4.4804008212e-04,170.983932,1.0729116388e-02,-64.841370,4.2415708303e-03,-21.623707,1.5997834504e-02,-30.258375,2.3999267432e-04,-151.276398,3.3525875187e-04,-32.038155,4.1396813467e-03,19.230747,1.1536250531e-04,-29.548922,6.2545540277e-04,-92.869164,2.3844522366e-04,-153.325195,7.0885340683e-03,-155.795517
1250.000000,7.8435940668e-03,-166.473907,1.8466610345e-04,-46.354710,6.5684848232e-04,22.719276,2.9400261119e-03,14.991508,1.2266604463e-03,77.386742,1.6113874153e-04,51.216827,3.3477312536e-04,-141.364319,2.0965976641e-02,152.892868,7.8765623039e-04,164.244247,5.4008601001e-04,141.759415,1.5788029123e-04,28.130026,1.3704961166e-02,-68.048843,1.3285521709e-04,23.700472,1.0968344286e-03,-81.239464,6.9695306011e-03,-165.074783,2.1960968152e-03,-131.051361,4.4385138899e-03,-159.171295,4.2828737060e-04,-22.507597,1.4470273629e-02,-73.008659,2.0002581005e-04,-123.897148,2.8974064626e-03,-173.636612,1.2341299094e-02,153.785477,2.1641675849e-03,-166.043365,9.8931451794e-04,173.330902,1.3719289564e-03,155.011887,2.2391151288e-04,177.599289,1.0638545267e-02,-65.517105,4.4259703718e-03,-24.737289,1.5540805645e-02,-33.335014,4.5909770415e-04,-138.219940,3.7465654896e-04,-53.022224,4.1273501702e-03,11.705576,1.1189693760e-04,77.021393,6.4909347566e-04,-89.740540,2.0810181741e-04,167.658264,6.8616229109e-03,-155.623077
