Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.001512432,-56.40648,6.708639,5.211174
1,0.001620076,-55.80929,5.204422,7.344216
10,0.001639101,-55.70789,1.247666,6.901874
50,0.001475093,-56.62361,-11.35557,5.015233
100,0.001336587,-57.48005,-11.6137,7.487921
200,0.0009542797,-60.40649,-1.688621,11.41419
500,0.001622662,-55.79544,22.3446,9.069813
1000,0.002309801,-52.72851,-4.068291,11.44762
1200,0.002416792,-52.33521,-5.867013,10.26677
1250,0.002331142,-52.64862,-8.022178,9.536047
1500,0.002480913,-52.10777,-14.13952,9.710136
1600,0.002349726,-52.57965,-19.1554,9.068511
2000,0.002444101,-52.23762,-24.01051,10.07012
2500,0.002477678,-52.1191,-46.04753,10.65715
3000,0.00250118,-52.0371,-50.63586,6.454615
