Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.09724959,-20.24224,-4.089842,1.595633
1,0.09719481,-20.24714,-4.181061,1.589409
10,0.09708551,-20.25691,-4.560662,1.580191
50,0.09681115,-20.28149,-6.591203,1.542659
100,0.09637186,-20.321,-8.991053,1.378968
200,0.09489553,-20.45508,-14.15689,1.095497
300,0.09305312,-20.62538,-18.39929,0.9026997
400,0.09055324,-20.86192,-22.59659,0.9944654
500,0.08804775,-21.10563,-26.32555,1.077744
600,0.0856242,-21.34807,-30.63661,1.231815
700,0.08306101,-21.61205,-32.6186,2.364186
800,0.08109877,-21.81972,-35.53155,1.258693
900,0.07940496,-22.00305,-39.82603,2.838791
1000,0.07722446,-22.2449,-43.79273,1.495329
1200,0.07350699,-22.67343,-47.25194,1.661889
1400,0.06964116,-23.14268,-53.99894,1.886554
1600,0.06789502,-23.36324,-57.38084,1.766304
1800,0.06519177,-23.71614,-61.31958,1.743515
2000,0.06310901,-23.99817,-65.72894,1.819844
