Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.2418774,-12.32809,-5.002779,2.021133
1,0.2416488,-12.33631,-5.073704,2.027732
10,0.2412751,-12.34975,-5.455191,2.00814
50,0.2394824,-12.41453,-6.892571,2.104724
100,0.2387621,-12.44069,-8.792322,1.929312
200,0.2372997,-12.49405,-12.79122,1.721596
300,0.2341523,-12.61003,-16.56825,1.605834
400,0.2300573,-12.76328,-20.19528,1.835706
500,0.2249898,-12.95674,-23.52018,1.933193
600,0.2209,-13.11609,-27.21857,3.125534
700,0.2143164,-13.37889,-29.02815,2.861724
800,0.210433,-13.53772,-31.6865,2.143509
900,0.2070664,-13.67781,-35.81893,3.348952
1000,0.2020163,-13.89227,-39.54955,2.180662
1200,0.1930373,-14.28718,-41.76387,3.293931
1400,0.1845903,-14.67582,-48.77565,2.425077
1600,0.1816965,-14.81307,-49.99473,4.588734
1800,0.1746059,-15.15882,-55.21803,2.553466
2000,0.1704262,-15.36927,-59.34245,2.403847
